Activity 1|Activity 2|Hints from Wordnet
post|complete|False
post|conduct|True
post|create|False
post|develop|False
post|evaluate|False
post|generate|False
post|issue|False
post|manage|False
post|pay|False
post|perform|False
post|post|True
post|prepare|False
post|process|False
post|record|False
post|remove|False
post|resubmit|False
post|satisfy|False
post|select|False
post|send|True
post|submit|False
post|successfully conduct|True
post|support|True
prepare|apply|False
prepare|assign|False
prepare|check|True
prepare|complete|False
prepare|conduct|False
prepare|develop|True
prepare|evaluate|False
prepare|generate|True
prepare|issue|False
prepare|manage|False
prepare|perform|False
prepare|prepare|True
prepare|process|False
prepare|record|False
prepare|remove|False
prepare|resubmit|False
prepare|satisfy|False
prepare|select|False
prepare|send|False
prepare|submit|False
prepare|successfully conduct|False
prepare|support|False
process|apply|False
process|assign|False
process|check|False
process|complete|False
process|conduct|False
process|develop|False
process|evaluate|False
process|generate|False
process|issue|False
process|manage|False
process|perform|False
process|process|True
process|record|False
process|remove|False
process|resubmit|False
process|satisfy|False
process|select|False
process|submit|False
process|successfully conduct|False
process|support|False
record|record|True
remove|apply|False
remove|complete|True
remove|conduct|True
remove|manage|False
remove|record|False
remove|remove|True
remove|select|True
remove|support|False
request|apply|True
request|assign|False
request|be notify|False
request|check|False
request|complete|False
request|conduct|False
request|create|False
request|develop|False
request|evaluate|False
request|generate|False
request|issue|False
request|manage|False
request|pay|False
request|perform|False
request|post|False
request|prepare|False
request|process|False
request|record|False
request|remove|False
request|request|True
request|resubmit|False
request|satisfy|False
request|schedule|False
request|select|False
request|send|False
request|submit|False
request|successfully conduct|False
request|support|False
research|apply|False
research|assign|False
research|be notify|False
research|capture|False
research|check|False
research|complete|False
research|conduct|False
research|create|False
research|denote|False
research|develop|False
research|evaluate|False
research|generate|False
research|issue|False
research|manage|False
research|pay|False
research|perform|False
research|post|False
research|prepare|False
research|process|False
research|record|False
research|remove|False
research|request|False
research|research|True
research|resubmit|False
research|review|False
research|satisfy|False
research|schedule|False
research|select|False
research|send|False
research|submit|False
research|successfully conduct|False
research|support|False
research|track|False
resubmit|apply|False
resubmit|complete|False
resubmit|conduct|False
resubmit|manage|False
resubmit|record|False
resubmit|remove|False
resubmit|resubmit|True
resubmit|select|False
resubmit|support|False
review|apply|False
review|assign|False
review|be notify|False
review|check|True
review|complete|False
review|conduct|False
review|create|False
review|denote|False
review|develop|False
review|evaluate|False
review|generate|False
review|issue|False
review|manage|False
review|pay|False
review|perform|False
review|post|False
review|prepare|False
review|process|False
review|record|False
review|remove|False
review|request|False
review|resubmit|False
review|review|True
review|satisfy|False
review|schedule|False
review|select|False
review|send|False
review|submit|False
review|successfully conduct|False
review|support|False
review|track|False
satisfy|apply|False
satisfy|assign|False
satisfy|check|False
satisfy|complete|False
satisfy|conduct|False
satisfy|evaluate|False
satisfy|generate|False
satisfy|manage|False
satisfy|perform|False
satisfy|record|False
satisfy|remove|False
satisfy|resubmit|False
satisfy|satisfy|True
satisfy|select|False
satisfy|successfully conduct|False
satisfy|support|False
schedule|apply|False
schedule|assign|False
schedule|check|False
schedule|complete|False
schedule|conduct|False
schedule|create|False
schedule|develop|False
schedule|evaluate|False
schedule|generate|False
schedule|issue|False
schedule|manage|False
schedule|pay|False
schedule|perform|False
schedule|post|False
schedule|prepare|False
schedule|process|False
schedule|record|False
schedule|remove|False
schedule|resubmit|False
schedule|satisfy|False
schedule|schedule|True
schedule|select|False
schedule|send|False
schedule|submit|False
schedule|successfully conduct|False
schedule|support|False
search|apply|False
search|assign|False
search|be notify|False
search|capture|False
search|check|False
search|complete|False
search|conduct|False
search|create|False
search|denote|False
search|develop|False
search|evaluate|False
search|generate|False
search|issue|False
search|manage|False
search|pay|False
search|perform|False
search|post|False
search|prepare|False
search|process|False
search|record|False
search|remove|False
search|request|False
search|research|True
search|resubmit|False
search|review|False
search|satisfy|False
search|schedule|False
search|search|True
search|select|False
search|send|False
search|submit|False
search|successfully conduct|False
search|support|False
search|track|False
search|update|False
select|apply|False
select|complete|False
select|conduct|True
select|manage|False
select|record|False
select|select|True
select|support|False
send|apply|False
send|assign|False
send|check|False
send|complete|False
send|conduct|True
send|develop|False
send|evaluate|False
send|generate|False
send|issue|False
send|manage|False
send|perform|False
send|process|False
send|record|False
send|remove|False
send|resubmit|False
send|satisfy|False
send|select|False
send|send|True
send|submit|False
send|successfully conduct|True
send|support|False
submit|apply|True
submit|assign|False
submit|check|False
submit|complete|False
submit|conduct|True
submit|evaluate|False
submit|generate|True
submit|issue|False
submit|manage|False
submit|perform|False
submit|record|False
submit|remove|True
submit|resubmit|False
submit|satisfy|False
submit|select|True
submit|submit|True
submit|successfully conduct|True
submit|support|False
successfully conduct|apply|False
successfully conduct|assign|False
successfully conduct|check|False
successfully conduct|complete|False
successfully conduct|conduct|True
successfully conduct|evaluate|False
successfully conduct|generate|False
successfully conduct|manage|True
successfully conduct|perform|False
successfully conduct|record|False
successfully conduct|remove|True
successfully conduct|resubmit|False
successfully conduct|select|True
successfully conduct|successfully conduct|True
successfully conduct|support|True
support|apply|True
support|conduct|True
support|manage|False
support|record|False
support|support|True
track|apply|False
track|assign|False
track|be notify|False
track|check|False
track|complete|False
track|conduct|False
track|create|False
track|develop|False
track|evaluate|False
track|generate|False
track|issue|False
track|manage|False
track|pay|False
track|perform|False
track|post|False
track|prepare|False
track|process|False
track|record|False
track|remove|False
track|request|False
track|resubmit|False
track|satisfy|False
track|schedule|False
track|select|False
track|send|False
track|submit|False
track|successfully conduct|False
track|support|False
track|track|True
update|apply|False
update|assign|False
update|be notify|False
update|capture|False
update|check|False
update|complete|False
update|conduct|False
update|create|False
update|denote|False
update|develop|False
update|evaluate|False
update|generate|False
update|issue|False
update|manage|False
update|pay|False
update|perform|False
update|post|False
update|prepare|False
update|process|False
update|record|False
update|remove|False
update|request|False
update|research|False
update|resubmit|False
update|review|False
update|satisfy|False
update|schedule|False
update|select|False
update|send|False
update|submit|False
update|successfully conduct|False
update|support|False
update|track|False
update|update|True
