story|action|classified_action|similarity
As a manager, I want to know about all resources for the data, so that I can estimate the true cost of the project|know|read|0.22494950890541077
As a manager, I want to know about all services used for the data, so that I can estimate the true cost of the project|know|read|0.22413799166679382
As an archivemanager, I want to reuse the information regarding file format, so that I can apply automated checks for the file validation|reuse|read|0.17952227592468262
As a researcher, I want to know how many resources are needed during the project, so that I can calculate costs|know|read|0.2675088346004486
As a researcher, I want to extract the description of the data collected, so that I can reuse it for the writing of a data paper|extract|read|0.28967899084091187
As a researcher, I want to record research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project|record|read|0.17895416915416718
As a researcher, I want to link research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project|link|read|0.2058684527873993
As a researcher, I want to store agreements relating to third party data used in a project, so that the data can be cited, attributed and used correctly|store|read|0.33480367064476013
As an ethics manager, I want to be informed about the data, so that I can check for sensitivity of data|be informed|read|0.2498076856136322
As a repository operator, I want to know about the kind of data, so that I can evaluate the storage size and system|know|read|0.16881072521209717
As a researcher, I want to know about costs, so that I can plan my research|know|read|0.1879059076309204
As a repository manager, I need details on the type of data, so that I can check if the archiving can be arranged|need|read|0.34803006052970886
As an IT officer, I want to know how secure data is, so that I can ensure legal compliance|know|read|0.38729044795036316
As a funder, I want to know how secure data is, so that I can ensure legal compliance|know|update|0.3863219916820526
As a Research Centre Director, I want to receive regular summary reports of research data, so that I understand trends in data use among staff and postgraduate students|receive|read|0.21972349286079407
As a Postgraduate Convenor, I want to receive regular summary reports of research data, so that I understand trends in data use among staff and postgraduate students|receive|read|0.2184649556875229
As a research support officer, I want to ensure compliance to the funders’ rules, so that I can ensure all costs will be accepted|ensure|update|0.38008880615234375
As a funder, I want to be able to check all the repositories mentioned in a DMP, so that I can verify whether the project has followed our funding rules|check|read|0.21884052455425262
As a PI, I want to plan what kind of data I want to store, so that I can ensure it will be possible to store it|plan|read|0.23980578780174255
As a PI, I want to know how secure data is, so that I can ensure legal compliance|know|read|0.3789287805557251
As a Director of Research Integrity, I want to access reports containing details of research projects in which data are classified as sensitive or highly sensitive, so that I can confirm security protocols are applied to these data|access|update|0.3537146747112274
As an archive, I want to get information about the volume of data to preserve at an early stage, so that I can provide the adequate storage infrastructure|get|update|0.1679319143295288
As a researcher, I want to know how long it will take to archive, so that I can plan further steps|know|read|0.3578045964241028
As a PI, I want to know who owns the data, so that I know what I am allowed to do with it|know|read|0.22388340532779694
As a data manager, I want to have references to documentation of the data, so that the data can be re-used and managed|have|read|0.25126561522483826
As a data manager, I want to have the creation process, so that the data can be re-used and managed|have|read|0.3825567960739136
As an archivemanager, I want to make sure that detailed metadata are associated to data so that it will be understandable by future users|make sure|read|0.19991302490234375
As a data manager, I want to know which kind of data types will be produced or collected, so that I can ensure that the necessary technical resources and technical know-how is available|know|read|0.3767794668674469
As an IT staff member, I want to know which kind of data types will be produced or collected, so that I can ensure that the necessary technical resources and technical know-how is available|know|read|0.355198472738266
As an IT staff member, I want to know how the data is used, so that I can determine what kind of basic services and functionalities are required|know|read|0.2719375789165497
As a data manager, I want to know whether the collected data depends on other data sets from my own or other institutions, so that I can ensure that these dependencies are maintained|know|read|0.40210995078086853
As an IT staff member, I want to know which formats are used, so that I can determine what kind of technical services and functionalities are required|know|read|0.2934083342552185
As an IT staff member, I want to know with which software the data is produced or used, so that I can determine what kind of technical services and functionalities are required|know|read|0.2482428401708603
As an IT staff member, I want to know with which technology the data is produced or used, so that I can determine what kind of technical services and functionalities are required|know|read|0.3110060691833496
As a data manager, I want to know which information is necessary to re-use the data, so that it can be checked whether all necessary information is available for researchers interested in re-using the data|know|read|0.35775279998779297
As a data manager, I want to know which formats are used, so that I know what technology or background information might be necessary to use the data|know|read|0.3375033140182495
As a data manager, I want to know whether the data can be reproduced efficiently, so that I can determine whether and how the data has to be stored|know|read|0.27956652641296387
As a data manager, I want to know with which software the data is produced or used, so that I know what technology or background information might be necessary to (re-)use the data|know|read|0.27571067214012146
As a data manager, I want to know with which technology the data is produced or used, so that I know what technology or background information might be necessary to (re-)use the data|know|read|0.337726354598999
As a research evaluation manager, I want to ensure all metadata are quoted correctly with our affiliation, so that they are counted towards our citation counts|ensure|update|0.290621817111969
As an administrator, I want to check that all data has the appropriate security level, so that I can demonstrate compliance|check|read|0.11837911605834961
As a data manager, I want to know the security requirements of the data, so that I can check whether the data can be kept secure|know|read|0.32720839977264404
As a institutional data steward, I want to be able to extract the data sets that are submitted to external repositories, so that I can add them to an institutional data catalogue|extract|read|0.30238136649131775
As an institutional data manager, I want to know about the privacy and security requirements of the data, so that I can plan the right storage system and sharing permissions|know|update|0.28230470418930054
As a researcher, I want to see the sections on costing by other researchers in my department, so that I can see if we could share data manager posts|see|read|0.35560089349746704
As a researcher, I want to see the sections on roles submitted by other researchers in my department, so that I can see if we could share data manager posts|see|read|0.26854217052459717
As a researcher, I want to see the sections on responsibilities submitted by other researchers in my department, so that I can see if we could share data manager posts|see|read|0.2642070949077606
As a faculty data steward, I want to see the sections on costing, so that I can ensure sufficient expertise on data management to support the project|see|read|0.3737018406391144
As a faculty data steward, I want to see the sections on roles, so that I can ensure sufficient expertise on data management to support the project|see|read|0.26663628220558167
As a faculty data steward, I want to see the sections on responsibilities, so that I can ensure sufficient expertise on data management to support the project|see|read|0.2658197581768036
As a data manager, I want to clarify the necessary rights for re-using the data, so that it is legal to reuse the data|clarify|read|0.2787863314151764
As a researcher, I want to record my intention to share data I have collected under terms of a particular licence, so that other researchers who use the data understand the rights of use|record|read|0.22425182163715363
As a data manager, I want to plan the anonymization of data, so that we protect the privacy of the people participating in the research as good as possible and still ensure reusability of data|plan|read|0.29872655868530273
As a repository manager, I want to have metadata in additional languages, so that I can allow for multilingual data archive|have|read|0.2283135950565338
As a data manager, I want to know whether the DMP was approved, so that I can proceed with the required next steps|know|read|0.297227144241333
